Date,S0_naive,S1_realfill,S2_realcost,S3_pit,PIT_BUY_HOLD,BENCHMARK_N100
2023-09-15,4723759.332608743,4450556.58797661,2075720.6015002,985211.5066225788,4887573.71359306,3777933.002204696
2023-09-18,4733465.99065928,4462427.212885058,2081178.3143603075,981846.6941482679,4882957.751004287,3768076.881887872
2023-09-20,4715946.444425149,4446818.510889208,2073961.3148791064,973274.2560014495,4851005.628326181,3726045.960739418
2023-09-21,4665182.552854104,4402202.828302538,2053100.9353930224,970966.5989427337,4807476.616049353,3696364.802874335
2023-09-22,4665874.316739602,4400748.128198778,2052430.4577318896,974643.5893598918,4810385.9906680435,3684935.2181167654
2023-09-25,4677598.7628150415,4408501.509515917,2054679.8443126036,977997.8534121341,4819930.604811682,3683525.6066342313
2023-09-26,4665855.686734719,4390721.028711474,2046349.7168711973,976596.5675616092,4825425.9421782205,3683339.262283666
2023-09-27,4681411.572751565,4400429.098871386,2050879.2427806212,983563.8307375736,4854845.397178902,3692485.2781533767
2023-09-28,4616182.199674172,4333174.0497686025,2019517.7566356016,965995.0991879858,4794774.690879416,3654426.7618780374
2023-09-29,4657064.8897681665,4375718.63585869,2038744.8872329087,974437.1936496292,4846360.010163111,3677957.414388569
2023-10-03,4646833.522611184,4366979.521387255,2033925.2216593497,975280.4830893076,4851210.286961842,3662073.981371526
2023-10-04,4585461.064206643,4312954.620599901,2006944.9404670629,967797.6865820442,4785400.7123350175,3640153.3428349164
2023-10-05,4594556.177701516,4324189.800592577,2010611.1732254853,957821.9018917236,4795533.961381506,3658869.140723153
2023-10-06,4598413.508237405,4337927.114954149,2016245.992922193,964890.3700008545,4830801.312382783,3679193.980182862
2023-10-09,4571423.239469094,4303389.658502733,1999392.0979307115,945825.0588235741,4762651.407114443,3649940.567869628
2023-10-10,4593569.2831397485,4326092.220606005,2008644.6765997,963604.376136934,4834524.225444631,3685158.170443916
2023-10-11,4622156.370908303,4353326.898096239,2019117.9972886282,967279.8871615194,4862983.92471866,3707705.8657112457
2023-10-12,4655748.844174905,4372325.180689013,2025247.4295326937,967609.4852166782,4862737.960609585,3706038.6957289255
2023-10-13,4650073.970761819,4371013.752679979,2023262.0750858362,961657.1901879917,4862522.241987059,3699158.716380575
2023-10-16,4649367.643857522,4370937.683252489,2021795.588494272,962984.9472222935,4868931.473646263,3697050.850542439
2023-10-17,4649796.800565286,4372551.957147753,2021021.5807260773,963924.093510824,4898999.237060197,3711710.55197371
2023-10-18,4617626.077207131,4341729.055444872,2006623.9601206086,958903.8434650477,4867461.067381125,3683961.7811406692
2023-10-19,4611753.409085793,4336477.109216845,2004200.8463205597,957140.3989956975,4869697.187481942,3675046.216747305
2023-10-20,4545525.373150735,4273996.138317187,1974463.623932028,950624.4034817815,4831740.634796674,3657825.679720237
2023-10-23,4488486.867443948,4217136.056743701,1947363.5934542837,926001.4013608098,4715720.894310198,3605316.9963331358
2023-10-25,4500850.807721048,4225166.752361376,1949712.6381608334,921535.7940151051,4675237.765421886,3578541.5137834945
2023-10-26,4475778.063946634,4186445.076091845,1929691.684871259,909249.9000587701,4617035.509130357,3530788.11472171
2023-10-27,4501223.926617532,4204891.181560595,1936863.3954633102,918807.0287322111,4699605.275398655,3571381.5912488066
2023-10-30,4502984.221173196,4198096.52335747,1930989.0622294245,914989.1873915175,4701070.559526248,3587281.1367475246
2023-10-31,4496548.166973977,4196147.770671923,1930083.160862237,915455.7399829294,4697769.454340119,3578688.9816248827
2023-11-01,4483140.581402688,4193255.0563164544,1928720.877659112,916734.345018642,4678706.1118299905,3561340.465889788
2023-11-02,4498939.641209512,4198223.5968590565,1927524.4660825264,920292.7785405832,4754604.046143644,3593178.3792179096
